Year,EPICADome,LawDome,CapeGrim,MaunaLoa,ShetlandIslands
-797446.1,399.3,,,,
-796467.4,457.8,,,,
-795327.0,396.1,,,,
-794369.7,418.0,,,,
-792988.0,428.3,,,,
-792449.6,419.66666669999995,,,,
-791645.5,451.2,,,,
-790877.0,469.66666669999995,,,,
-790044.8,466.2,,,,
-789426.6,503.0,,,,
-788740.4,483.0,,,,
-788087.6,540.3333332999999,,,,
-787312.0,543.2,,,,
-786864.7,561.6666667000001,,,,
-786172.7,588.9,,,,
-785723.2,659.3333332999999,,,,
-784988.2,713.4,,,,
-784698.6,699.0,,,,
-784589.8,738.67,,,,
-784539.9,723.0,,,,
-784009.5,676.9,,,,
-783436.1,686.3333332999999,,,,
-782689.9,639.4,,,,
-782157.5,653.3333332999999,,,,
-781478.0,618.0,,,,
-780900.5,639.3333332999999,,,,
-780007.1,623.3,,,,
-779682.9,633.3333332999999,,,,
-778794.8,629.9,,,,
-778144.6,616.0,,,,
-777333.2,598.3,,,,
-776810.3,614.0,,,,
-776081.5,681.0,,,,
-775460.3,657.6666667000001,,,,
-774605.1,601.2,,,,
-774043.8,617.6666667000001,,,,
-773295.5,577.4,,,,
-772575.4,583.3333332999999,,,,
-771681.9,548.5,,,,
-771049.3,565.6666667000001,,,,
-770248.5,529.5,,,,
-770063.6,538.6666667000001,,,,
-769878.6,543.0,,,,
-769590.8,556.0,,,,
-769255.1,639.3333332999999,,,,
-768980.6,646.6666667000001,,,,
-768651.7,632.1,,,,
-768344.1,629.7,,,,
-768129.9,621.6666667000001,,,,
-767776.6,616.3,,,,
-767629.8,587.0,,,,
-767349.6,569.8,,,,
-766740.6,568.0,,,,
-765671.2,486.4,,,,
-765121.4,519.0,,,,
-764296.1,466.7,,,,
-763935.9,462.0,,,,
-763555.4,469.66666669999995,,,,
-763272.1,500.0,,,,
-763133.6,535.0,,,,
-762798.3,517.8,,,,
-762634.7,563.3333332999999,,,,
-762193.3,549.3333332999999,,,,
-761867.7,556.0,,,,
-761513.3,538.4,,,,
-760876.8,521.0,,,,
-760088.6,474.3,,,,
-759624.4,473.2,,,,
-758685.7,453.7,,,,
-758065.2,462.33333330000005,,,,
-757250.2,433.6,,,,
-756866.5,421.0,,,,
-756431.6,485.66666669999995,,,,
-756193.3,497.66666669999995,,,,
-756050.2,498.1,,,,
-755557.8,505.33333330000005,,,,
-755265.8,479.66666669999995,,,,
-755045.1,473.3,,,,
-754835.7,439.4,,,,
-754370.5,419.0,,,,
-753665.2,444.5,,,,
-753189.6,429.0,,,,
-752398.9,406.4,,,,
-752070.0,409.6666667,,,,
-750617.6,431.33333330000005,,,,
-749805.3,400.9,,,,
-749303.8,428.33333330000005,,,,
-748653.2,407.6,,,,
-748094.9,399.6666667,,,,
-747369.6,377.5,,,,
-746919.5,408.6666667,,,,
-746283.3,392.2,,,,
-745766.4,404.6666667,,,,
-745099.5,402.4,,,,
-744652.7,428.0,,,,
-744054.6,415.1,,,,
-743522.4,432.33333330000005,,,,
-742824.4,421.3,,,,
-742362.3,421.66666669999995,,,,
-741756.3,439.1,,,,
-741257.3,422.33333330000005,,,,
-740552.5,401.5,,,,
-740121.4,409.3333333,,,,
-739472.9,387.7,,,,
-738917.7,414.0,,,,
-738261.5,410.6,,,,
-737859.8,403.0,,,,
-737323.4,408.3,,,,
-736868.5,407.3333333,,,,
-736179.9,423.0,,,,
-735872.3,507.66666669999995,,,,
-735335.5,541.9,,,,
-734972.9,561.0,,,,
-734462.6,545.9,,,,
-734106.6,541.0,,,,
-733574.1,517.6,,,,
-733151.1,531.3333333,,,,
-732638.3,519.9,,,,
-732244.4,519.3333333,,,,
-731697.9,529.5,,,,
-731209.4,525.3333333,,,,
-730511.0,520.5,,,,
-730196.0,537.3333332999999,,,,
-729491.5,511.7,,,,
-729076.6,538.0,,,,
-728293.2,544.6,,,,
-727804.0,551.0,,,,
-726923.0,530.3333333,,,,
-726502.6,559.0,,,,
-725757.3,530.8,,,,
-725230.1,540.6666667000001,,,,
-724544.9,504.3,,,,
-723918.5,561.0,,,,
-722970.2,478.45,,,,
-722423.1,581.0,,,,
-721737.7,559.6,,,,
-721021.6,566.3333332999999,,,,
-719971.1,514.7,,,,
-719307.7,491.33333330000005,,,,
-718582.9,401.1,,,,
-717691.6,407.6666667,,,,
-716685.4,391.7,,,,
-716013.0,402.6666667,,,,
-715244.5,398.8,,,,
-714513.0,434.66666669999995,,,,
-713700.0,531.3,,,,
-713164.9,570.0,,,,
-712239.3,577.0,,,,
-711787.7,593.0,,,,
-711060.4,596.8,,,,
-710414.8,587.6666667000001,,,,
-709618.8,573.2,,,,
-709001.4,591.0,,,,
-708191.3,556.3,,,,
-707808.5,567.7,,,,
-707680.6,611.3333332999999,,,,
-706903.7,520.5,,,,
-706419.7,512.3,,,,
-705648.7,504.5,,,,
