,CFC-12,Halon-1211,HCFC-22,HCFC-141b,Methylchloroform,HFC-23,HFC-125,HFC-134a,HFC-152a,Nitrogentrifluoride,PFC-14,PFC-116,Sulfurhexafluoride
1978.04,264.3,,,,,,,,,,,,
1978.12,263.1,,,,,,,,,,,,
1978.21,261.6,,,,,,,,,,,,
1978.29,,,,,,3.13,,,,,,,
1978.38,,,,,,3.06809,,,,,,,
1978.46,273.6,,,,,3.04221,,,,,,,
1978.54,268.552,,,,71.805,2.95,,,,,,,
1978.62,269.862,,,,71.08800000000001,3.01894,,,,,,,
1978.71,271.445,,,,69.845,3.02155,,,,,,,
1978.79,273.775,,,,70.845,3.1,,,,,,,
1978.88,276.78,,,,71.945,3.0838900000000002,,,,,,,
1978.96,280.265,,,,74.768,3.11568,,,,,,,
1979.04,283.425,,,,74.405,3.14912,,,,,,,
1979.12,283.455,,,,74.29,3.16,,,,,,,
1979.21,284.052,,,,74.815,3.3256,,,,,,,
1979.29,285.533,,,,75.941,3.38176,,,,,,,
1979.38,286.657,,,,76.582,3.4363099999999998,,,,,,,
1979.46,286.92,,,,76.62,3.48924,,,,,,,
1979.54,289.312,,,,76.863,3.5405599999999997,,,,,,,
1979.62,291.99,,,,78.075,3.59026,,,,,,,
1979.71,291.58,,,,76.977,3.63835,,,,,,,
1979.79,293.93,,,,78.702,3.6848199999999998,,,,,,,
1979.88,295.9,,,,80.055,3.72968,,,,,,,
1979.96,296.553,,,,79.574,3.77293,,,,,,,
1980.04,297.938,,,,81.455,3.8145599999999997,,,,,,,
1980.12,299.283,,,,81.607,3.8545800000000003,,,,,,,
1980.21,302.04,,,,83.545,3.89298,,,,,,,
1980.29,303.579,,,,83.678,3.9297699999999995,,,,,,,
1980.38,304.78700000000003,,,,84.726,3.96495,,,,,,,
1980.46,306.788,,,,85.175,3.99851,,,,,,,
1980.54,309.24,,,,85.181,4.03046,,,,,,,
1980.62,309.9,,,,84.971,4.1,,,,,,,
1980.71,311.158,,,,84.935,4.052230000000001,,,,,,,
1980.79,311.0,,,,86.156,4.09131,,,,,,,
1980.88,313.30400000000003,,,,87.565,4.12973,,,,,,,
1980.96,314.415,,,,87.90100000000001,4.16748,,,,,,,
1981.04,315.323,,,,87.711,4.2045699999999995,,,,,,,
1981.12,315.801,,,,88.509,4.24099,,,,,,,
1981.21,315.77099999999996,,,,88.055,4.27675,,,,,,,
1981.29,318.004,,,,89.368,4.31185,,,,,,,
1981.38,319.04900000000004,,,,89.99700000000001,4.34628,,,,,,,
1981.46,319.789,,,,90.09899999999999,4.38005,,,,,,,
1981.54,321.177,,,,89.978,4.41315,,,,,,,
1981.62,324.095,,,,89.899,4.44559,,,,,,,
1981.71,326.139,,,,90.321,4.47737,,,,,,,
1981.79,327.39099999999996,,,,90.585,4.5084800000000005,,,,,,,
1981.88,328.851,,,,90.863,4.538930000000001,,,,,,,
1981.96,329.76099999999997,,,,91.87,4.56871,,,,,,,
1982.04,331.18,,,,92.24,4.59783,,,,,,,
1982.12,332.11400000000003,,,,92.869,4.32,,,,,,,
1982.21,333.04900000000004,,,,93.119,4.6273,,,,,,,
1982.29,335.348,,,,94.991,4.63791,,,,,,,
1982.38,336.24699999999996,,,,94.764,4.95,,,,,,,
1982.46,338.541,,,,95.01,4.56574,,,,,,,
1982.54,339.486,,,,95.29799999999999,4.55894,,,,,,,
1982.62,341.13599999999997,,,,94.706,4.5539,,,,,,,
1982.71,342.401,,,,94.165,4.5506400000000005,,,,,,,
1982.79,343.974,,,,94.98100000000001,4.54914,,,,,,,
1982.88,345.95,,,,95.601,4.54943,,,,,,,
1982.96,348.024,,,,96.756,4.551480000000001,,,,,,,
1983.04,348.256,,,,96.13,4.5553099999999995,,,,,,,
1983.12,349.042,,,,96.06,4.56091,,,,,,,
1983.21,350.259,,,,96.788,4.568280000000001,,,,,,,
