Year,Annual_Mean,5-year_Mean
1880,-0.23,
1881,-0.15,
1882,-0.18,-0.21
1883,-0.21,-0.22
1884,-0.29,-0.24
1885,-0.27,-0.27
1886,-0.26,-0.27
1887,-0.33,-0.23
1888,-0.21,-0.25
1889,-0.11,-0.25
1890,-0.34,-0.25
1891,-0.27,-0.28
1892,-0.32,-0.32
1893,-0.36,-0.31
1894,-0.33,-0.29
1895,-0.26,-0.27
1896,-0.19,-0.26
1897,-0.19,-0.23
1898,-0.32,-0.21
1899,-0.21,-0.22
1900,-0.16,-0.24
1901,-0.21,-0.25
1902,-0.31,-0.3
1903,-0.37,-0.33
1904,-0.45,-0.34
1905,-0.31,-0.37
1906,-0.27,-0.38
1907,-0.43,-0.39
1908,-0.44,-0.42
1909,-0.48,-0.45
1910,-0.47,-0.45
1911,-0.45,-0.44
1912,-0.42,-0.4
1913,-0.4,-0.34
1914,-0.24,-0.32
1915,-0.17,-0.33
1916,-0.37,-0.31
1917,-0.45,-0.32
1918,-0.32,-0.34
1919,-0.3,-0.31
1920,-0.28,-0.28
1921,-0.21,-0.27
1922,-0.3,-0.26
1923,-0.27,-0.25
1924,-0.25,-0.23
1925,-0.23,-0.21
1926,-0.11,-0.19
1927,-0.2,-0.2
1928,-0.17,-0.18
1929,-0.32,-0.18
1930,-0.13,-0.16
1931,-0.08,-0.18
1932,-0.11,-0.13
1933,-0.26,-0.14
1934,-0.1,-0.15
1935,-0.16,-0.12
1936,-0.11,-0.06
1937,0.03,-0.04
1938,0.05,0
1939,0,0.04
1940,0.06,0.04
1941,0.07,0.05
1942,0.05,0.07
1943,0.05,0.06
1944,0.13,0.03
1945,0,0.01
1946,-0.08,-0.02
1947,-0.05,-0.07
1948,-0.11,-0.11
1949,-0.12,-0.1
1950,-0.19,-0.09
1951,-0.06,-0.05
1952,0.01,-0.05
1953,0.08,-0.04
1954,-0.12,-0.07
1955,-0.13,-0.06
1956,-0.18,-0.07
1957,0.03,-0.04
1958,0.05,-0.02
1959,0.03,0.02
1960,-0.04,0.03
1961,0.06,0.03
1962,0.04,-0.01
1963,0.08,-0.02
1964,-0.2,-0.04
1965,-0.1,-0.05
1966,-0.04,-0.08
1967,-0.01,-0.03
1968,-0.05,0
1969,0.06,0
1970,0.04,0
1971,-0.06,0.04
1972,0.02,0.02
1973,0.16,0.01
1974,-0.07,0
1975,-0.01,0.02
1976,-0.12,0
1977,0.15,0.04
1978,0.05,0.08
1979,0.12,0.16
1980,0.23,0.15
1981,0.28,0.2
1982,0.09,0.2
1983,0.27,0.17
1984,0.12,0.14
1985,0.08,0.18
1986,0.14,0.19
1987,0.28,0.22
1988,0.35,0.28
1989,0.24,0.33
1990,0.39,0.31
1991,0.38,0.28
1992,0.19,0.29
1993,0.21,0.3
1994,0.28,0.29
1995,0.43,0.34
1996,0.32,0.42
1997,0.45,0.44
1998,0.61,0.44
1999,0.4,0.48
2000,0.4,0.51
2001,0.52,0.51
2002,0.61,0.53
2003,0.6,0.58
2004,0.51,0.59
2005,0.65,0.59
2006,0.59,0.57
2007,0.62,0.59
2008,0.49,0.59
2009,0.59,0.58
2010,0.66,0.57
2011,0.55,0.59
2012,0.57,0.61
2013,0.6,
2014,0.67,
