# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-07-13 14:45:11 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11460151 REDWOOD C A HWY 1 BRIDGE A MUIR BEACH CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11460151
#            TS   parameter     statistic     Description
#         11308       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	11308_00060_00003	11308_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11460151	2016-07-12	0.40	A
USGS	11460151	2016-07-13	0.39	A
USGS	11460151	2016-07-14	0.38	A
USGS	11460151	2016-07-15	0.39	A
USGS	11460151	2016-07-16	0.44	A
USGS	11460151	2016-07-17	0.50	A
USGS	11460151	2016-07-18	0.47	A
USGS	11460151	2016-07-19	0.41	A
USGS	11460151	2016-07-20	0.39	A
USGS	11460151	2016-07-21	0.35	A
USGS	11460151	2016-07-22	0.37	A
USGS	11460151	2016-07-23	0.34	A
USGS	11460151	2016-07-24	0.33	A
USGS	11460151	2016-07-25	0.34	A
USGS	11460151	2016-07-26	0.36	A
USGS	11460151	2016-07-27	0.32	A
USGS	11460151	2016-07-28	0.32	A
USGS	11460151	2016-07-29	0.33	A
USGS	11460151	2016-07-30	0.33	A
USGS	11460151	2016-07-31	0.32	A
USGS	11460151	2016-08-01	0.27	A
USGS	11460151	2016-08-02	0.27	A
USGS	11460151	2016-08-03	0.28	A
USGS	11460151	2016-08-04	0.32	A
USGS	11460151	2016-08-05	0.31	A
USGS	11460151	2016-08-06	0.34	A
USGS	11460151	2016-08-07	0.34	A
USGS	11460151	2016-08-08	0.33	A
USGS	11460151	2016-08-09	0.31	A
USGS	11460151	2016-08-10	0.33	A
USGS	11460151	2016-08-11	0.35	A
USGS	11460151	2016-08-12	0.34	A
USGS	11460151	2016-08-13	0.28	A
USGS	11460151	2016-08-14	0.26	A
